date,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating,check_total
2021-01-19,365-64-0515,A,Banglore,Normal,Female,Electronic Accessories,46.95,5,11.7375,246.4875,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,246.4875
2021-01-20,252-56-2699,A,Banglore,Normal,Male,Food And Beverages,43.19,10,21.595,453.495,16:48,Ewallet,431.9,4.761904762,21.595,8.2,453.495
2021-01-21,829-34-3910,A,Banglore,Normal,Female,Health And Beauty,71.38,10,35.69,749.49,19:21,Cash,713.8,4.761904762,35.69,5.7,749.49
2021-01-22,299-46-1805,B,Hyderabad,Member,Female,Sports And Travel,93.72,6,28.116,590.436,16:19,Cash,562.32,4.761904762,28.116,4.5,590.4359999999999
2021-01-25,656-95-9349,A,Banglore,Member,Female,Health And Beauty,68.93,7,24.1255,506.6355,11:03,Credit Card,482.51,4.761904762,24.1255,4.6,506.63550000000004
2021-01-26,765-26-6951,A,Banglore,Normal,Male,Sports And Travel,72.61,6,21.783,457.443,10:39,Credit Card,435.66,4.761904762,21.783,6.9,457.443
2021-01-27,329-62-1586,A,Banglore,Normal,Male,Food And Beverages,54.67,3,8.2005,172.2105,18:00,Credit Card,164.01,4.761904762,8.2005,8.6,172.2105
2021-01-28,319-50-3348,B,Hyderabad,Normal,Female,Home And Lifestyle,40.3,2,4.03,84.63,15:30,Ewallet,80.6,4.761904762,4.03,4.4,84.63
2021-01-29,300-71-4605,C,Vizag,Member,Male,Electronic Accessories,86.04,5,21.51,451.71,11:24,Ewallet,430.2,4.761904762,21.51,4.8,451.71000000000004
2021-02-01,371-85-5789,B,Hyderabad,Normal,Male,Health And Beauty,87.98,3,13.197,277.137,10:40,Ewallet,263.94,4.761904762,13.197,5.1,277.137
2021-02-02,273-16-6619,B,Hyderabad,Normal,Male,Home And Lifestyle,33.2,2,3.32,69.72,12:20,Credit Card,66.4,4.761904762,3.32,4.4,69.72
2021-02-03,636-48-8204,A,Banglore,Normal,Male,Electronic Accessories,34.56,5,8.64,181.44,11:15,Ewallet,172.8,4.761904762,8.64,9.9,181.44
2021-02-04,549-59-1358,A,Banglore,Member,Male,Sports And Travel,88.63,3,13.2945,279.1845,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,279.18449999999996
2021-02-05,227-03-5010,A,Banglore,Member,Female,Home And Lifestyle,52.59,8,21.036,441.756,19:20,Credit Card,420.72,4.761904762,21.036,8.5,441.75600000000003
2021-02-08,649-29-6775,B,Hyderabad,Normal,Male,Fashion Accessories,33.52,1,1.676,35.196,15:31,Cash,33.52,4.761904762,1.676,6.7,35.196000000000005
2021-02-09,189-17-4241,A,Banglore,Normal,Female,Fashion Accessories,87.67,2,8.767,184.107,12:17,Credit Card,175.34,4.761904762,8.767,7.7,184.107
2021-02-10,145-94-9061,B,Hyderabad,Normal,Female,Food And Beverages,88.36,5,22.09,463.89,19:48,Cash,441.8,4.761904762,22.09,9.6,463.89
2021-02-11,848-62-7243,A,Banglore,Normal,Male,Health And Beauty,24.89,9,11.2005,235.2105,15:36,Cash,224.01,4.761904762,11.2005,7.4,235.2105
2021-02-12,871-79-8483,B,Hyderabad,Normal,Male,Fashion Accessories,94.13,5,23.5325,494.1825,19:39,Credit Card,470.65,4.761904762,23.5325,4.8,494.1825
2021-02-15,149-71-6266,B,Hyderabad,Member,Male,Sports And Travel,78.07,9,35.1315,737.7615,12:43,Cash,702.63,4.761904762,35.1315,4.5,737.7614999999998
2021-02-16,640-49-2076,B,Hyderabad,Normal,Male,Sports And Travel,83.78,8,33.512,703.752,14:49,Cash,670.24,4.761904762,33.512,5.1,703.752
2021-02-17,595-11-5460,A,Banglore,Normal,Male,Health And Beauty,96.58,2,9.658,202.818,10:12,Credit Card,193.16,4.761904762,9.658,5.1,202.81799999999998
2021-02-18,183-56-6882,C,Vizag,Member,Female,Food And Beverages,99.42,4,19.884,417.564,10:42,Ewallet,397.68,4.761904762,19.884,7.5,417.564
2021-02-19,232-16-2483,C,Vizag,Member,Female,Sports And Travel,68.12,1,3.406,71.526,12:28,Ewallet,68.12,4.761904762,3.406,6.8,71.52600000000001
2021-02-22,129-29-8530,A,Banglore,Member,Male,Sports And Travel,62.62,5,15.655,328.755,19:15,Ewallet,313.1,4.761904762,15.655,7.0,328.75499999999994
2021-02-23,272-65-1806,A,Banglore,Normal,Female,Electronic Accessories,60.88,9,27.396,575.316,17:17,Ewallet,547.92,4.761904762,27.396,4.7,575.316
2021-02-24,333-73-7901,C,Vizag,Normal,Female,Health And Beauty,54.92,8,21.968,461.328,13:24,Ewallet,439.36,4.761904762,21.968,7.6,461.32800000000003
2021-02-25,777-82-7220,B,Hyderabad,Member,Male,Home And Lifestyle,30.12,8,12.048,253.008,13:01,Cash,240.96,4.761904762,12.048,7.7,253.008
2021-02-26,280-35-5823,B,Hyderabad,Member,Female,Home And Lifestyle,86.72,1,4.336,91.056,18:45,Ewallet,86.72,4.761904762,4.336,7.9,91.056
2021-03-01,554-53-8700,C,Vizag,Member,Male,Home And Lifestyle,56.11,2,5.611,117.831,10:11,Cash,112.22,4.761904762,5.611,6.3,117.831
2021-03-02,354-25-5821,B,Hyderabad,Member,Female,Sports And Travel,69.12,6,20.736,435.456,13:03,Cash,414.72,4.761904762,20.736,5.6,435.456
2021-03-03,228-96-1411,C,Vizag,Member,Female,Food And Beverages,98.7,8,39.48,829.08,20:39,Cash,789.6,4.761904762,39.48,7.6,829.08
2021-03-04,617-15-4209,C,Vizag,Member,Male,Health And Beauty,15.37,2,1.537,32.277,19:47,Cash,30.74,4.761904762,1.537,7.2,32.277
2021-03-05,132-32-9879,B,Hyderabad,Member,Female,Electronic Accessories,93.96,4,18.792,394.632,18:00,Cash,375.84,4.761904762,18.792,9.5,394.63199999999995
2021-03-08,370-41-7321,B,Hyderabad,Member,Male,Health And Beauty,56.69,9,25.5105,535.7205,17:24,Credit Card,510.21,4.761904762,25.5105,8.4,535.7205
2021-03-09,727-46-3608,B,Hyderabad,Member,Female,Food And Beverages,20.01,9,9.0045,189.0945,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,189.0945
2021-03-10,669-54-1719,B,Hyderabad,Member,Male,Electronic Accessories,18.93,6,5.679,119.259,12:45,Credit Card,113.58,4.761904762,5.679,8.1,119.259
2021-03-11,574-22-5561,C,Vizag,Member,Female,Fashion Accessories,82.63,10,41.315,867.615,17:08,Ewallet,826.3,4.761904762,41.315,7.9,867.615
2021-03-12,326-78-5178,C,Vizag,Member,Male,Food And Beverages,91.4,7,31.99,671.79,10:19,Cash,639.8,4.761904762,31.99,9.5,671.7900000000001
2021-03-15,162-48-8011,A,Banglore,Member,Female,Food And Beverages,44.59,5,11.1475,234.0975,15:10,Cash,222.95,4.761904762,11.1475,8.5,234.09750000000003
2021-03-16,616-24-2851,B,Hyderabad,Member,Female,Fashion Accessories,17.87,4,3.574,75.054,14:42,Ewallet,71.48,4.761904762,3.574,6.5,75.054
2021-03-17,778-71-5554,C,Vizag,Member,Male,Fashion Accessories,15.43,1,0.7715,16.2015,15:46,Credit Card,15.43,4.761904762,0.7715,6.1,16.2015
2021-03-18,242-55-6721,B,Hyderabad,Normal,Male,Home And Lifestyle,16.16,2,1.616,33.936,11:49,Ewallet,32.32,4.761904762,1.616,6.5,33.936
2021-03-19,399-46-5918,C,Vizag,Normal,Female,Electronic Accessories,85.98,8,34.392,722.232,19:01,Cash,687.84,4.761904762,34.392,8.2,722.2320000000001
2021-03-22,106-35-6779,A,Banglore,Member,Male,Home And Lifestyle,44.34,2,4.434,93.114,11:26,Cash,88.68,4.761904762,4.434,5.8,93.114
2021-03-23,635-40-6220,A,Banglore,Normal,Male,Health And Beauty,89.6,8,35.84,752.64,11:28,Ewallet,716.8,4.761904762,35.84,6.6,752.64
2021-03-24,817-48-8732,A,Banglore,Member,Female,Home And Lifestyle,72.35,10,36.175,759.675,15:55,Cash,723.5,4.761904762,36.175,5.4,759.675
2021-03-25,120-06-4233,C,Vizag,Normal,Male,Electronic Accessories,30.61,6,9.183,192.843,20:36,Cash,183.66,4.761904762,9.183,9.3,192.843
2021-03-26,285-68-5083,C,Vizag,Member,Female,Sports And Travel,24.74,3,3.711,77.931,17:47,Credit Card,74.22,4.761904762,3.711,10.0,77.931
2021-03-29,803-83-5989,C,Vizag,Normal,Male,Home And Lifestyle,55.73,6,16.719,351.099,10:55,Ewallet,334.38,4.761904762,16.719,7.0,351.099
2021-03-30,347-34-2234,B,Hyderabad,Member,Female,Sports And Travel,55.07,9,24.7815,520.4115,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,520.4115
2021-03-31,199-75-8169,A,Banglore,Member,Male,Sports And Travel,15.81,10,7.905,166.005,12:27,Credit Card,158.1,4.761904762,7.905,8.6,166.005
2021-04-01,853-23-2453,B,Hyderabad,Member,Male,Health And Beauty,75.74,4,15.148,318.108,14:35,Cash,302.96,4.761904762,15.148,7.6,318.108
2021-04-02,877-22-3308,A,Banglore,Member,Male,Health And Beauty,15.87,10,7.935,166.635,16:40,Cash,158.7,4.761904762,7.935,5.8,166.635
2021-04-05,838-78-4295,C,Vizag,Normal,Female,Health And Beauty,33.47,2,3.347,70.287,15:43,Ewallet,66.94,4.761904762,3.347,6.7,70.28699999999999
2021-04-06,109-28-2512,B,Hyderabad,Member,Female,Fashion Accessories,97.61,6,29.283,614.943,15:01,Ewallet,585.66,4.761904762,29.283,9.9,614.943
2021-04-07,232-11-3025,A,Banglore,Normal,Male,Sports And Travel,78.77,10,39.385,827.085,10:04,Cash,787.7,4.761904762,39.385,6.4,827.0849999999999
2021-04-08,382-03-4532,A,Banglore,Member,Female,Health And Beauty,18.33,1,0.9165,19.2465,18:50,Cash,18.33,4.761904762,0.9165,4.3,19.246499999999997
2021-04-09,393-65-2792,C,Vizag,Normal,Male,Food And Beverages,89.48,10,44.74,939.54,12:46,Credit Card,894.8,4.761904762,44.74,9.6,939.5400000000001
2021-04-12,796-12-2025,C,Vizag,Normal,Male,Fashion Accessories,62.12,10,31.06,652.26,16:19,Cash,621.2,4.761904762,31.06,5.9,652.2599999999999
2021-04-13,510-95-6347,B,Hyderabad,Member,Female,Food And Beverages,48.52,3,7.278,152.838,18:17,Ewallet,145.56,4.761904762,7.278,4.0,152.838
2021-04-14,841-35-6630,C,Vizag,Normal,Female,Electronic Accessories,75.91,6,22.773,478.233,18:21,Cash,455.46,4.761904762,22.773,8.7,478.233
2021-04-15,287-21-9091,A,Banglore,Normal,Male,Home And Lifestyle,74.67,9,33.6015,705.6315,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,705.6315
2021-04-16,732-94-0499,C,Vizag,Normal,Female,Electronic Accessories,41.65,10,20.825,437.325,17:04,Credit Card,416.5,4.761904762,20.825,5.4,437.325
2021-04-19,263-10-3913,C,Vizag,Member,Male,Fashion Accessories,49.04,9,22.068,463.428,14:20,Credit Card,441.36,4.761904762,22.068,8.6,463.428
2021-04-20,381-20-0914,A,Banglore,Member,Female,Fashion Accessories,20.01,9,9.0045,189.0945,15:48,Credit Card,180.09,4.761904762,9.0045,5.7,189.0945
2021-04-21,829-49-1914,C,Vizag,Member,Female,Food And Beverages,78.31,10,39.155,822.255,16:24,Ewallet,783.1,4.761904762,39.155,6.6,822.255
2021-04-22,756-01-7507,C,Vizag,Normal,Female,Health And Beauty,20.38,5,5.095,106.995,18:56,Cash,101.9,4.761904762,5.095,6.0,106.99499999999999
2021-04-23,870-72-4431,C,Vizag,Normal,Female,Health And Beauty,99.19,6,29.757,624.897,14:42,Credit Card,595.14,4.761904762,29.757,5.5,624.8969999999999
2021-04-26,847-38-7188,B,Hyderabad,Normal,Female,Food And Beverages,96.68,3,14.502,304.542,19:56,Ewallet,290.04,4.761904762,14.502,6.4,304.54200000000003
2021-04-27,480-63-2856,C,Vizag,Normal,Male,Food And Beverages,19.25,8,7.7,161.7,18:37,Ewallet,154.0,4.761904762,7.7,6.6,161.7
2021-04-28,787-56-0757,C,Vizag,Member,Female,Food And Beverages,80.36,4,16.072,337.512,18:45,Credit Card,321.44,4.761904762,16.072,8.3,337.512
2021-04-29,360-39-5055,C,Vizag,Member,Male,Sports And Travel,48.91,5,12.2275,256.7775,10:17,Cash,244.55,4.761904762,12.2275,6.6,256.7775
2021-04-30,730-50-9884,C,Vizag,Normal,Female,Sports And Travel,83.06,7,29.071,610.491,14:31,Ewallet,581.42,4.761904762,29.071,4.0,610.4910000000001
2021-05-03,362-58-8315,C,Vizag,Normal,Male,Fashion Accessories,76.52,5,19.13,401.73,10:23,Cash,382.6,4.761904762,19.13,9.9,401.72999999999996
2021-05-04,633-44-8566,A,Banglore,Member,Male,Food And Beverages,49.38,7,17.283,362.943,20:35,Credit Card,345.66,4.761904762,17.283,7.3,362.94300000000004
2021-05-05,504-35-8843,A,Banglore,Normal,Male,Sports And Travel,42.47,1,2.1235,44.5935,16:57,Cash,42.47,4.761904762,2.1235,5.7,44.5935
2021-05-06,318-68-5053,B,Hyderabad,Normal,Female,Health And Beauty,76.99,6,23.097,485.037,17:55,Cash,461.94,4.761904762,23.097,6.1,485.0369999999999
2021-05-07,565-80-5980,C,Vizag,Member,Female,Home And Lifestyle,47.38,4,9.476,198.996,10:25,Cash,189.52,4.761904762,9.476,7.1,198.996
2021-05-10,225-32-0908,C,Vizag,Normal,Female,Sports And Travel,44.86,10,22.43,471.03,19:54,Ewallet,448.6,4.761904762,22.43,8.2,471.03000000000003
2021-05-11,873-51-0671,A,Banglore,Member,Female,Sports And Travel,21.98,7,7.693,161.553,16:42,Ewallet,153.86,4.761904762,7.693,5.1,161.55300000000003
2021-05-12,152-08-9985,B,Hyderabad,Member,Male,Health And Beauty,64.36,9,28.962,608.202,12:09,Credit Card,579.24,4.761904762,28.962,8.6,608.202
2021-05-13,512-91-0811,C,Vizag,Normal,Male,Health And Beauty,89.75,1,4.4875,94.2375,20:05,Credit Card,89.75,4.761904762,4.4875,6.6,94.2375
2021-05-14,594-34-4444,A,Banglore,Normal,Male,Electronic Accessories,97.16,1,4.858,102.018,20:38,Ewallet,97.16,4.761904762,4.858,7.2,102.018
2021-05-17,766-85-7061,B,Hyderabad,Normal,Male,Health And Beauty,87.87,10,43.935,922.635,10:25,Ewallet,878.7,4.761904762,43.935,5.1,922.635
2021-05-18,871-39-9221,C,Vizag,Normal,Female,Electronic Accessories,12.45,6,3.735,78.435,13:11,Cash,74.7,4.761904762,3.735,4.1,78.43499999999999
2021-05-19,865-92-6136,A,Banglore,Normal,Male,Food And Beverages,52.75,3,7.9125,166.1625,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,166.1625
2021-05-20,733-01-9107,B,Hyderabad,Normal,Male,Home And Lifestyle,82.7,6,24.81,521.01,18:14,Cash,496.2,4.761904762,24.81,7.4,521.01
2021-05-21,163-56-7055,C,Vizag,Member,Male,Fashion Accessories,48.71,1,2.4355,51.1455,19:20,Cash,48.71,4.761904762,2.4355,4.1,51.1455
2021-05-24,189-98-2939,C,Vizag,Normal,Male,Fashion Accessories,78.55,9,35.3475,742.2975,13:22,Cash,706.95,4.761904762,35.3475,7.2,742.2974999999999
2021-05-25,551-21-3069,C,Vizag,Normal,Female,Electronic Accessories,23.07,9,10.3815,218.0115,11:27,Cash,207.63,4.761904762,10.3815,4.9,218.01149999999998
2021-05-26,212-62-1842,A,Banglore,Normal,Male,Food And Beverages,58.26,6,17.478,367.038,16:44,Cash,349.56,4.761904762,17.478,9.9,367.038
2021-05-27,716-39-1409,B,Hyderabad,Normal,Male,Health And Beauty,30.35,7,10.6225,223.0725,18:19,Cash,212.45,4.761904762,10.6225,8.0,223.07250000000002
2021-05-28,704-48-3927,A,Banglore,Member,Male,Electronic Accessories,88.67,10,44.335,931.035,14:50,Ewallet,886.7,4.761904762,44.335,7.3,931.0350000000001
2021-05-31,628-34-3388,C,Vizag,Normal,Male,Fashion Accessories,27.38,6,8.214,172.494,20:54,Credit Card,164.28,4.761904762,8.214,7.9,172.494
2021-06-01,630-74-5166,A,Banglore,Normal,Male,Sports And Travel,62.13,6,18.639,391.419,20:19,Cash,372.78,4.761904762,18.639,7.4,391.41900000000004
2021-06-02,588-01-7461,C,Vizag,Normal,Female,Food And Beverages,33.98,9,15.291,321.111,10:43,Cash,305.82,4.761904762,15.291,4.2,321.111
2021-06-03,861-77-0145,C,Vizag,Member,Male,Electronic Accessories,81.97,10,40.985,860.685,14:30,Cash,819.7,4.761904762,40.985,9.2,860.6850000000001
2021-06-04,479-26-8945,B,Hyderabad,Member,Female,Sports And Travel,16.49,2,1.649,34.629,11:32,Ewallet,32.98,4.761904762,1.649,4.6,34.629
2021-06-07,210-67-5886,C,Vizag,Member,Female,Health And Beauty,98.21,3,14.7315,309.3615,10:41,Credit Card,294.63,4.761904762,14.7315,7.8,309.3615
2021-06-08,227-78-1148,B,Hyderabad,Normal,Female,Fashion Accessories,72.84,7,25.494,535.374,12:44,Cash,509.88,4.761904762,25.494,8.4,535.374
2021-06-09,645-44-1170,A,Banglore,Member,Male,Home And Lifestyle,58.07,9,26.1315,548.7615,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,548.7615
2021-06-10,237-01-6122,C,Vizag,Member,Female,Home And Lifestyle,80.79,9,36.3555,763.4655,20:31,Credit Card,727.11,4.761904762,36.3555,9.5,763.4655
2021-06-11,225-98-1496,C,Vizag,Normal,Female,Fashion Accessories,27.02,3,4.053,85.113,13:01,Credit Card,81.06,4.761904762,4.053,7.1,85.113
2021-06-14,291-32-1427,B,Hyderabad,Member,Male,Fashion Accessories,21.94,5,5.485,115.185,12:29,Ewallet,109.7,4.761904762,5.485,5.3,115.185
2021-06-15,659-65-8956,B,Hyderabad,Member,Male,Fashion Accessories,51.36,1,2.568,53.928,15:26,Ewallet,51.36,4.761904762,2.568,5.2,53.928
2021-06-16,642-32-2990,A,Banglore,Normal,Female,Food And Beverages,10.96,10,5.48,115.08,20:48,Ewallet,109.6,4.761904762,5.48,6.0,115.08000000000001
2021-06-17,378-24-2715,B,Hyderabad,Normal,Male,Home And Lifestyle,53.44,2,5.344,112.224,20:38,Ewallet,106.88,4.761904762,5.344,4.1,112.22399999999999
2021-06-18,638-60-7125,A,Banglore,Normal,Female,Electronic Accessories,99.56,8,39.824,836.304,17:03,Credit Card,796.48,4.761904762,39.824,5.2,836.304
2021-06-21,659-36-1684,C,Vizag,Member,Male,Sports And Travel,57.12,7,19.992,419.832,12:02,Credit Card,399.84,4.761904762,19.992,6.5,419.832
2021-06-22,219-22-9386,B,Hyderabad,Member,Male,Sports And Travel,99.96,9,44.982,944.622,17:26,Credit Card,899.64,4.761904762,44.982,4.2,944.622
2021-06-23,336-78-2147,C,Vizag,Member,Male,Home And Lifestyle,63.91,8,25.564,536.844,19:52,Credit Card,511.28,4.761904762,25.564,4.6,536.8439999999999
2021-06-24,268-27-6179,B,Hyderabad,Member,Female,Fashion Accessories,56.47,8,22.588,474.348,14:57,Ewallet,451.76,4.761904762,22.588,7.3,474.348
2021-06-25,668-90-8900,A,Banglore,Normal,Female,Home And Lifestyle,93.69,7,32.7915,688.6215,18:44,Credit Card,655.83,4.761904762,32.7915,4.5,688.6215
2021-06-28,870-54-3162,A,Banglore,Normal,Female,Sports And Travel,32.25,5,8.0625,169.3125,13:26,Cash,161.25,4.761904762,8.0625,9.0,169.3125
2021-06-29,189-08-9157,C,Vizag,Normal,Female,Fashion Accessories,31.73,9,14.2785,299.8485,16:17,Credit Card,285.57,4.761904762,14.2785,5.9,299.8485
2021-06-30,663-86-9076,C,Vizag,Member,Female,Food And Beverages,68.54,8,27.416,575.736,15:57,Ewallet,548.32,4.761904762,27.416,8.5,575.7360000000001
2021-07-01,549-84-7482,B,Hyderabad,Normal,Female,Sports And Travel,90.28,9,40.626,853.146,11:15,Ewallet,812.52,4.761904762,40.626,7.2,853.146
2021-07-02,191-10-6171,B,Hyderabad,Normal,Female,Fashion Accessories,39.62,7,13.867,291.207,13:18,Cash,277.34,4.761904762,13.867,7.5,291.207
2021-07-05,802-70-5316,A,Banglore,Member,Female,Sports And Travel,92.13,6,27.639,580.419,20:34,Cash,552.78,4.761904762,27.639,8.3,580.419
2021-07-06,695-51-0018,B,Hyderabad,Normal,Female,Sports And Travel,34.84,4,6.968,146.328,18:36,Cash,139.36,4.761904762,6.968,7.4,146.328
2021-07-07,590-83-4591,B,Hyderabad,Member,Male,Electronic Accessories,87.45,6,26.235,550.935,14:40,Credit Card,524.7,4.761904762,26.235,8.8,550.9350000000001
2021-07-08,483-71-1164,C,Vizag,Normal,Female,Health And Beauty,81.3,6,24.39,512.19,16:43,Ewallet,487.8,4.761904762,24.39,5.3,512.1899999999999
2021-07-09,597-78-7908,C,Vizag,Normal,Male,Fashion Accessories,90.22,3,13.533,284.193,19:39,Cash,270.66,4.761904762,13.533,6.2,284.193
2021-07-12,700-81-1757,A,Banglore,Normal,Female,Electronic Accessories,26.31,5,6.5775,138.1275,20:59,Credit Card,131.55,4.761904762,6.5775,8.8,138.12749999999997
2021-07-13,354-39-5160,A,Banglore,Member,Female,Home And Lifestyle,34.42,6,10.326,216.846,15:39,Cash,206.52,4.761904762,10.326,9.8,216.846
2021-07-14,241-72-9525,B,Hyderabad,Normal,Male,Sports And Travel,51.91,10,25.955,545.055,12:21,Cash,519.1,4.761904762,25.955,8.2,545.055
2021-07-15,575-30-8091,A,Banglore,Normal,Male,Sports And Travel,72.5,8,29.0,609.0,19:25,Ewallet,580.0,4.761904762,29.0,9.2,609.0
2021-07-16,731-81-9469,C,Vizag,Member,Female,Sports And Travel,89.8,10,44.9,942.9,13:00,Credit Card,898.0,4.761904762,44.9,5.4,942.9
2021-07-19,280-17-4359,C,Vizag,Member,Male,Health And Beauty,90.5,10,45.25,950.25,13:48,Cash,905.0,4.761904762,45.25,8.1,950.25
2021-07-20,338-65-2210,C,Vizag,Member,Female,Health And Beauty,68.6,10,34.3,720.3,19:57,Cash,686.0,4.761904762,34.3,9.1,720.3
2021-07-21,488-25-4221,C,Vizag,Member,Female,Food And Beverages,30.41,1,1.5205,31.9305,10:36,Credit Card,30.41,4.761904762,1.5205,8.4,31.9305
2021-07-22,239-10-7476,A,Banglore,Normal,Female,Home And Lifestyle,77.95,6,23.385,491.085,16:37,Ewallet,467.7,4.761904762,23.385,8.0,491.08500000000004
2021-07-23,458-41-1477,C,Vizag,Normal,Female,Health And Beauty,46.26,6,13.878,291.438,17:11,Credit Card,277.56,4.761904762,13.878,9.5,291.438
2021-07-26,685-64-1609,A,Banglore,Member,Female,Fashion Accessories,30.14,10,15.07,316.47,12:28,Ewallet,301.4,4.761904762,15.07,9.2,316.46999999999997
2021-07-27,568-90-5112,C,Vizag,Normal,Male,Health And Beauty,66.14,4,13.228,277.788,12:46,Credit Card,264.56,4.761904762,13.228,5.6,277.788
2021-07-28,262-47-2794,B,Hyderabad,Member,Male,Home And Lifestyle,71.86,8,28.744,603.624,15:07,Credit Card,574.88,4.761904762,28.744,6.2,603.624
2021-07-29,238-49-0436,A,Banglore,Normal,Male,Health And Beauty,32.46,8,12.984,272.664,13:48,Credit Card,259.68,4.761904762,12.984,4.9,272.664
2021-07-30,608-96-3517,B,Hyderabad,Member,Female,Fashion Accessories,91.54,4,18.308,384.468,19:20,Credit Card,366.16,4.761904762,18.308,4.8,384.468
2021-08-02,584-86-7256,C,Vizag,Member,Male,Sports And Travel,34.56,7,12.096,254.016,16:07,Credit Card,241.92,4.761904762,12.096,7.3,254.01600000000002
2021-08-03,746-94-0204,A,Banglore,Normal,Male,Fashion Accessories,83.24,9,37.458,786.618,11:56,Credit Card,749.16,4.761904762,37.458,7.4,786.6179999999999
2021-08-04,214-17-6927,C,Vizag,Normal,Female,Food And Beverages,16.48,6,4.944,103.824,18:23,Ewallet,98.88,4.761904762,4.944,9.9,103.824
2021-08-05,400-89-4171,C,Vizag,Normal,Female,Sports And Travel,80.97,8,32.388,680.148,13:05,Cash,647.76,4.761904762,32.388,9.3,680.148
2021-08-06,782-95-9291,A,Banglore,Member,Male,Food And Beverages,92.29,5,23.0725,484.5225,15:55,Credit Card,461.45,4.761904762,23.0725,9.0,484.52250000000004
2021-08-09,279-74-2924,B,Hyderabad,Member,Male,Electronic Accessories,72.17,1,3.6085,75.7785,19:40,Cash,72.17,4.761904762,3.6085,6.1,75.77850000000001
2021-08-10,307-85-2293,B,Hyderabad,Normal,Male,Home And Lifestyle,50.28,5,12.57,263.97,13:58,Ewallet,251.4,4.761904762,12.57,9.7,263.97
2021-08-11,743-04-1105,B,Hyderabad,Member,Male,Health And Beauty,97.22,9,43.749,918.729,14:43,Ewallet,874.98,4.761904762,43.749,6.0,918.729
2021-08-12,423-57-2993,B,Hyderabad,Normal,Male,Sports And Travel,93.39,6,28.017,588.357,19:18,Ewallet,560.34,4.761904762,28.017,10.0,588.3570000000001
2021-08-13,894-41-5205,C,Vizag,Normal,Female,Food And Beverages,43.18,8,17.272,362.712,19:39,Credit Card,345.44,4.761904762,17.272,8.3,362.712
2021-08-16,275-28-0149,A,Banglore,Normal,Male,Sports And Travel,63.69,1,3.1845,66.8745,16:21,Cash,63.69,4.761904762,3.1845,6.0,66.8745
2021-08-17,101-17-6199,A,Banglore,Normal,Male,Food And Beverages,45.79,7,16.0265,336.5565,19:44,Credit Card,320.53,4.761904762,16.0265,7.0,336.55649999999997
2021-08-18,423-80-0988,C,Vizag,Normal,Male,Sports And Travel,76.4,2,7.64,160.44,19:42,Ewallet,152.8,4.761904762,7.64,6.5,160.44
